date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:15	110602/110602	---M--	200	added ('OK')	image/jpeg	date:Sat,%2017%20Dec%202016%2021:23:58%20GMT	https://cdn.konservative.dk/wp-content/uploads/sites/8/2016/06/politikomr%c3%a5der_uddannelse.jpg	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/uploads/sites/8/2016/06/politikomr%c3%a5der_uddannelse.jpg	(from https://konservative.dk/politik/alle-emner/uddannelse-og-skole/)
21:16:17	242537/242537	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Apr%202017%2018:14:46%20GMT	https://cdn.konservative.dk/wp-content/uploads/sites/8/2016/06/politikomr%c3%a5der_udenrigs.jpg	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/uploads/sites/8/2016/06/politikomr%c3%a5der_udenrigs.jpg	(from https://konservative.dk/politik/alle-emner/udenrigspolitik/)
21:16:19	184851/184851	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20May%202017%2013:16:57%20GMT	https://cdn.konservative.dk/wp-content/uploads/sites/8/2017/05/politikomr%c3%a5der-velf%c3%a6rd.jpg	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/uploads/sites/8/2017/05/politikomr%c3%a5der-velf%c3%a6rd.jpg	(from https://konservative.dk/politik/alle-emner/velfaerd/)
21:16:20	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jan%202018%2015:46:19%20GMT	https://konservative.dk/politik/det-mener-vi-om/sundhedspolitik/	C:/My%20Web%20Sites/Morten/konservative.dk/politik/det-mener-vi-om/sundhedspolitik/index.html	(from https://konservative.dk/politik/alle-emner/velfaerd/)
21:16:20	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jan%202018%2015:46:19%20GMT	https://konservative.dk/politik/det-mener-vi-om/uddannelsespolitik/	C:/My%20Web%20Sites/Morten/konservative.dk/politik/det-mener-vi-om/uddannelsespolitik/index.html	(from https://konservative.dk/politik/alle-emner/velfaerd/)
21:16:21	1053610/1053610	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Apr%202017%2018:13:54%20GMT	https://cdn.konservative.dk/wp-content/uploads/sites/8/2016/06/politikomr%c3%a5der_udvikling2.jpg	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/uploads/sites/8/2016/06/politikomr%c3%a5der_udvikling2.jpg	(from https://konservative.dk/politik/alle-emner/udviklingspolitik/)
21:16:22	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jan%202018%2015:46:21%20GMT	https://konservative.dk/politik/det-mener-vi-om/socialpolitik/	C:/My%20Web%20Sites/Morten/konservative.dk/politik/det-mener-vi-om/socialpolitik/index.html	(from https://konservative.dk/politik/alle-emner/velfaerd/)
21:16:22	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jan%202018%2015:46:21%20GMT	https://konservative.dk/bliv-medlem	C:/My%20Web%20Sites/Morten/konservative.dk/bliv-medlem	(from https://konservative.dk/politik/boligskatter/)
21:16:23	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jan%202018%2015:46:23%20GMT	https://konservative.dk/politik/boligskatter/www.konservative.dk/vaer-med/bliv-medlem	C:/My%20Web%20Sites/Morten/konservative.dk/politik/boligskatter/www.konservative.dk/vaer-med/bliv-medlem	(from https://konservative.dk/politik/boligskatter/)
21:16:24	7280/7280	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Apr%202017%2017:02:06%20GMT	https://cdn.konservative.dk/wp-content/uploads/sites/8/2017/02/politiskhorisont-logo-neg-300x89.png	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/uploads/sites/8/2017/02/politiskhorisont-logo-neg-300x89.png	(from https://konservative.dk/politisk-horisont/aargang-2017/nr-4/)
21:16:25	40884/40884	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Dec%202017%2015:27:01%20GMT	https://cdn.konservative.dk/wp-content/uploads/sites/8/2017/12/s%c3%b8rens_jul_sidstebillede_1920x-650x325.jpg	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/uploads/sites/8/2017/12/s%c3%b8rens_jul_sidstebillede_1920x-650x325.jpg	(from https://konservative.dk/politisk-horisont/aargang-2017/nr-4/)
21:16:27	25037/25037	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Nov%202017%2012:40:07%20GMT	https://cdn.konservative.dk/wp-content/uploads/sites/8/2017/11/1600px_COLOURBOX28757158-650x325.jpg	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/uploads/sites/8/2017/11/1600px_COLOURBOX28757158-650x325.jpg	(from https://konservative.dk/politisk-horisont/aargang-2017/nr-4/)
21:16:27	75124/75124	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jan%202018%2015:46:27%20GMT	https://konservative.dk/politisk-horisont/aargang-2017/nr-4/tryghedsministerens-jul/	C:/My%20Web%20Sites/Morten/konservative.dk/politisk-horisont/aargang-2017/nr-4/tryghedsministerens-jul/index.html	(from https://konservative.dk/politisk-horisont/aargang-2017/nr-4/)
21:16:28	38087/38087	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Nov%202017%2010:13:12%20GMT	https://cdn.konservative.dk/wp-content/uploads/sites/8/2017/11/23722430_1110360832400260_1122165866069579515_n-650x325.jpg	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/uploads/sites/8/2017/11/23722430_1110360832400260_1122165866069579515_n-650x325.jpg	(from https://konservative.dk/politisk-horisont/aargang-2017/nr-4/)
